Date,Main Pollutant,Site Name,Site ID, AQI Value
1/1/2000,PM2.5,Cottonwood,49-035-0003,159
1/2/2000,PM2.5,Hawthorne,49-035-3006,64
1/3/2000,NO2,Cottonwood,49-035-0003,47
1/4/2000,PM2.5,Hawthorne,49-035-3006,56
1/5/2000,NO2,Hawthorne,49-035-3006,46
1/6/2000,PM2.5,Hawthorne,49-035-3006,55
1/7/2000,PM2.5,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF TRAILER,49-035-0012,89
1/8/2000,PM2.5,Hawthorne,49-035-3006,70
1/9/2000,NO2,Hawthorne,49-035-3006,43
1/10/2000,NO2,Hawthorne,49-035-3006,45
1/11/2000,PM10,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF TRAILER,49-035-0012,64
1/12/2000,NO2,Hawthorne,49-035-3006,44
1/13/2000,PM2.5,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF TRAILER,49-035-0012,73
1/14/2000,PM2.5,Hawthorne,49-035-3006,60
1/15/2000,NO2,Hawthorne,49-035-3006,65
1/16/2000,NO2,Hawthorne,49-035-3006,32
1/17/2000,PM2.5,Hawthorne,49-035-3006,56
1/18/2000,PM2.5,Hawthorne,49-035-3006,54
1/19/2000,PM2.5,UTM COORDINATES = PROBE LOCATION,49-035-3007,53
1/20/2000,PM2.5,Hawthorne,49-035-3006,59
1/21/2000,PM2.5,Hawthorne,49-035-3006,52
1/22/2000,PM2.5,UTM COORDINATES = PROBE LOCATION,49-035-3007,55
1/23/2000,PM2.5,Hawthorne,49-035-3006,51
1/24/2000,PM2.5,Hawthorne,49-035-3006,85
1/25/2000,PM2.5,Hawthorne,49-035-3006,69
1/26/2000,PM2.5,Hawthorne,49-035-3006,43
1/27/2000,SO2,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF TRAILER,49-035-0012,65
1/28/2000,PM2.5,Cottonwood,49-035-0003,54
1/29/2000,PM10,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF TRAILER,49-035-0012,54
